(La/Yb)N,(La/Nd)N,(Gd/Yb)N,Eu/Eu*,YbN,REE+Y,LREE,Sr/Y,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,花岗岩类型
3.441832647,0.26419889,8.378764686,0.148316611,2494.900038,36984.65274,27737.01628,0.170557579,6.964320206,5.872821425,7.640120855,7.606981269,8.566603326,6.367069083,9.6200652,8.365181431,5.348204897,8.354699799,4.417406921,7.436768703,4.329171263,6.238938914,2.875806579,6.040303298,2.548811002,A型
5.731967872,0.407847746,6.468685604,0.110420226,1734.660882,26634.42405,21607.80243,0.46847746,7.614211065,6.246989097,7.003873479,7.753599372,8.444982688,6.138911357,9.332491561,7.833807139,4.484262141,7.732535517,3.761035572,6.802591884,3.731753271,5.679460549,2.412360351,5.676866572,2.295654798,A型
3.748062276,0.338138188,6.02171953,0.114084487,3120.368624,38796.53723,29968.77357,0.112328633,7.454206599,5.38846904,7.573412611,7.915918654,8.731631628,6.459202446,9.682250123,8.261251154,4.98072234,8.248074642,4.380650983,7.426509647,4.363088181,6.340136514,3.055383144,6.264005778,2.778397454,A型
7.92316331,0.585796653,5.313710853,0.166367636,1385.601375,21791.35086,18361.86418,0.451848353,7.955719497,5.841203292,6.634229044,7.852653315,8.466739153,6.01092091,9.069466716,7.403262346,4.467328261,7.311175329,3.360261401,6.41131632,3.374609687,5.386046534,2.159541031,5.452188886,2.130194339,A型
3.32243317,0.4682135,2.925686414,0.164915025,6465.012447,53852.31583,42957.24693,0.311747913,7.867319578,6.834133352,7.998310835,8.523830864,9.285165249,6.925835314,9.964692598,8.330475708,5.392394295,8.254684706,4.38274842,7.520228715,4.527838496,6.660580035,3.560440907,6.992459572,3.567120336,A型
2.335289872,0.410734118,2.369192967,0.113660058,7703.915282,52447.93048,40537.08716,0.034309653,9.028864271,4.794309427,8.165255048,8.346593233,9.233074315,6.870128952,9.918433266,8.344318988,5.014101562,8.219028699,4.432626427,7.635405024,4.654550976,6.817777227,3.809704548,7.167783313,3.714738982,A型
1.580920961,0.201084273,5.927485386,0.136917464,2166.473552,21145.90652,14836.41515,0.098967758,6.542427453,4.993355427,7.304933678,6.687836848,7.850050425,5.78569985,8.973898879,7.98963708,4.846817882,7.867451472,4.080484354,7.135589153,4.041156186,5.948094426,2.679839716,5.899155389,2.248401913,A型
3.498857229,0.21737373,8.354060684,0.207972233,1112.877584,19339.02679,15284.27575,0.49588552,6.720704756,6.072815284,6.772842563,6.816114018,8.041616594,5.794777069,9.024282007,7.74501164,4.989819219,7.544447452,3.652146584,6.637342311,3.502657321,5.360000022,2.046115956,5.233003713,1.584917925,A型
3.889828593,0.227642732,8.659910576,0.155781926,1414.674894,26186.92596,20832.31441,0.460686344,6.681817717,6.301468491,7.075123435,7.161993371,8.387594703,6.140244868,9.324002058,8.037681254,4.987228544,7.820354788,3.921015257,6.909276027,3.76387282,5.617451321,2.284526979,5.472954383,1.833212255,A型
4.172911652,0.230706584,8.361754305,0.15599136,1301.500903,24012.85624,19265.55141,0.24686938,6.236536924,5.533029206,6.930542206,7.148860699,8.199560011,5.953221443,9.297500117,7.903235645,4.860161298,7.701937033,3.80886466,6.795947342,3.659788629,5.51731151,2.200266636,5.389572774,1.750043059,A型
2.479495063,0.428600087,2.245458231,0.057211477,5090.904892,35311.6023,27840.37074,0.025122297,7.034083948,4.053859072,7.736475679,7.992239059,8.942590873,6.615981348,9.521500895,7.80999649,3.820179094,7.751115849,3.89600685,7.064883371,4.16659745,6.362312326,3.326744504,6.753510228,3.358215949,A型
1.128742311,0.222377549,2.419581442,0.040593932,13026.79798,74365.18596,54190.09607,0.007339161,7.274899782,3.623190448,8.536338229,8.144841163,9.251346519,7.217939836,10.33025068,8.935084718,4.557891255,8.76535383,5.091399787,8.316796877,5.296901264,7.42444041,4.35110201,7.693063254,4.006213482,A型
2.805097295,0.587155462,1.880304055,0.087551207,4072.723913,25807.19753,20388.76227,0.035609926,7.590467364,4.064206541,7.397954489,7.892478796,8.72940901,6.103640285,9.106975292,7.4833818,3.889171965,7.350496181,3.613586689,6.824118219,3.894526513,6.075839882,3.102327878,6.530366676,3.096357885,A型
2.623482947,0.419044724,2.016855139,0.047747225,6197.623347,45043.00665,37108.41462,0.00972878,7.64246323,3.014384416,7.645668294,8.245397221,9.283329727,6.85135344,9.79720569,8.05039329,3.820179094,7.840455968,4.025392972,7.217577387,4.267778001,6.422894228,3.441979768,6.950220522,3.601906452,A型
5.698404846,0.454498344,4.052574396,0.146593411,3368.273558,44825.26937,38438.61199,0.082791605,7.477906133,4.794640061,7.284685768,8.41131513,9.162817112,6.865562655,9.881906981,8.094997596,5.003098488,7.928503292,3.879565474,6.886532572,3.889711867,6.000540902,2.909762954,6.34045495,3.014119787,A型
3.461809038,0.575192913,2.431618294,0.064409669,4211.530749,32308.03125,25860.65194,0.046226929,9.374605156,4.484440936,7.557250795,8.136346006,8.929713009,6.43058864,9.371426642,7.685457873,3.820179094,7.641133824,3.769980025,6.946843432,4.03519461,6.18650545,3.145230883,6.563880815,3.171626175,A型
4.519294007,0.358008677,4.51789837,0.050945697,3179.650238,43437.9691,36090.01304,0.081186039,7.571450728,4.999145832,7.508774904,8.121855521,9.107307823,6.810749572,9.831084421,8.220104339,4.043322645,7.97956877,4.118286719,7.214239878,4.118246267,6.160188141,2.987724496,6.282825837,2.697450178,A型
4.180800024,0.34788662,4.715634386,0.037941106,3422.165935,43744.47092,35539.06642,0.075315728,6.96297296,5.011083531,7.595766926,8.117504816,8.957763535,6.812928222,9.855414315,8.291314716,3.836708396,8.095907762,4.248182478,7.34804286,4.253791759,6.292229536,3.101053181,6.3563283,2.713014694,A型
5.011849697,0.570204378,2.994301495,0.114562259,1845.813909,19746.67468,16695.12152,0.099910636,7.597612663,4.37837302,6.680469243,7.681453901,8.534123034,5.995995259,8.925245168,7.154936645,3.830541881,7.024381948,3.082194787,6.212152698,3.258777871,5.391359101,2.319269928,5.738974958,2.460734549,A型
2.67680709,0.405113053,3.210572357,0.088844221,3961.089704,31762.99586,24466.6911,0.05055223,7.999296214,4.654712815,7.638078124,7.817872395,8.723194593,6.361823585,9.403492345,7.924949406,4.371826712,7.857719035,4.010533858,7.101251015,4.12360821,6.243439372,3.141875175,6.5025738,3.094162495,A型
3.843337482,0.393993429,3.677569334,0.115977237,2905.697322,31045.698,25480.64353,0.116685909,7.762158631,5.066495064,7.213381654,7.869743059,8.713144257,6.426860274,9.483194949,7.877292251,4.540725248,7.683676074,3.794104244,6.896630268,3.844799311,5.923433865,2.785200231,6.192728038,2.811595523,A型
